problem,c1_ls,alpha_init,c2_ls,alpha_max,iterations,runtime,final_grad_norm,success
quad_10_10,0.0001,1.0,0.9,10.0,26,0.0009996891021728516,5.564547128140653e-07,True
quad_10_1000,0.0001,1.0,0.9,10.0,57,0.001999378204345703,3.9093846317688654e-07,True
quad_1000_10,0.0001,1.0,0.9,10.0,44,4.905506372451782,9.375226603569346e-07,True
quad_1000_1000,0.0001,1.0,0.9,10.0,1000,121.22044491767883,5.985764893890974e-06,False
quartic_1,0.0001,1.0,0.9,10.0,3,0.0,5.129112239842055e-10,True
quartic_2,0.0001,1.0,0.9,10.0,1000,0.25590038299560547,441176.00787063595,False
Rosenbrock_2,0.0001,1.0,0.9,10.0,34,0.0009996891021728516,6.149653776622498e-08,True
Rosenbrock_100,0.0001,1.0,0.9,10.0,1000,0.4200615882873535,59.98284123195361,False
DataFit_2,0.0001,1.0,0.9,10.0,15,0.0009989738464355469,5.1573946577951064e-09,True
Exponential_10,0.0001,1.0,0.9,10.0,1000,0.12909507751464844,2.1336285285376355e-06,False
Exponential_1000,0.0001,1.0,0.9,10.0,6,0.5682425498962402,3.3852602912569185e-07,True
Genhumps_5,0.0001,1.0,0.9,10.0,46,0.002499818801879883,1.2393197312918947e-07,True
