,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Iterations,Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final f(x),Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,Final ||鈭噁(x)||,CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),CPU Time (s),Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,SuccessNumeric,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm,FinalGradNorm
Method,BFGS,BFGSW,DFP,DFPW,GradientDescent,GradientDescentW,LBFGS-M10-ADAPTIVE,LBFGS-M10-FIFO,LBFGS-M10-MIN_CURV,LBFGS-M5-ADAPTIVE,LBFGS-M5-FIFO,LBFGS-M5-MIN_CURV,Newton,NewtonW,TRNewtonCG,TRSR1CG,BFGS,BFGSW,DFP,DFPW,GradientDescent,GradientDescentW,LBFGS-M10-ADAPTIVE,LBFGS-M10-FIFO,LBFGS-M10-MIN_CURV,LBFGS-M5-ADAPTIVE,LBFGS-M5-FIFO,LBFGS-M5-MIN_CURV,Newton,NewtonW,TRNewtonCG,TRSR1CG,BFGS,BFGSW,DFP,DFPW,GradientDescent,GradientDescentW,LBFGS-M10-ADAPTIVE,LBFGS-M10-FIFO,LBFGS-M10-MIN_CURV,LBFGS-M5-ADAPTIVE,LBFGS-M5-FIFO,LBFGS-M5-MIN_CURV,Newton,NewtonW,TRNewtonCG,TRSR1CG,BFGS,BFGSW,DFP,DFPW,GradientDescent,GradientDescentW,LBFGS-M10-ADAPTIVE,LBFGS-M10-FIFO,LBFGS-M10-MIN_CURV,LBFGS-M5-ADAPTIVE,LBFGS-M5-FIFO,LBFGS-M5-MIN_CURV,Newton,NewtonW,TRNewtonCG,TRSR1CG,BFGS,BFGSW,DFP,DFPW,GradientDescent,GradientDescentW,LBFGS-M10-ADAPTIVE,LBFGS-M10-FIFO,LBFGS-M10-MIN_CURV,LBFGS-M5-ADAPTIVE,LBFGS-M5-FIFO,LBFGS-M5-MIN_CURV,Newton,NewtonW,TRNewtonCG,TRSR1CG,BFGS,BFGSW,DFP,DFPW,GradientDescent,GradientDescentW,LBFGS-M10-ADAPTIVE,LBFGS-M10-FIFO,LBFGS-M10-MIN_CURV,LBFGS-M5-ADAPTIVE,LBFGS-M5-FIFO,LBFGS-M5-MIN_CURV,Newton,NewtonW,TRNewtonCG,TRSR1CG,BFGS,BFGSW,DFP,DFPW,GradientDescent,GradientDescentW,LBFGS-M10-ADAPTIVE,LBFGS-M10-FIFO,LBFGS-M10-MIN_CURV,LBFGS-M5-ADAPTIVE,LBFGS-M5-FIFO,LBFGS-M5-MIN_CURV,Newton,NewtonW,TRNewtonCG,TRSR1CG
Problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataFit_2,7,17,24,24,5,507,12,12,12,13,12,21,15,1000,11,68,nan,3.59E-14,4.44E-16,4.44E-16,nan,1.30E-12,2.66E-15,2.68E-15,1.00E-13,3.80E-20,1.09E-15,1.20E-15,1.32E-25,1.42E+01,8.64E-16,2.33E-13,,4.41E-07,2.06E-07,2.06E-07,,9.66E-07,1.11E-07,1.11E-07,9.12E-07,1.38E-09,2.13E-07,1.05E-07,3.41E-12,27.75,3.93E-08,4.18E-07,0.0015,0.0025,0.0005,0.001,0.0015,0.024,0.0005,0.0005,0.0005,0.0005,0.0005,0.001,0.0025,0.3405,0.0015,0.003,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,4.41E-07,2.06E-07,2.06E-07,,9.66E-07,1.11E-07,1.11E-07,9.12E-07,1.38E-09,2.13E-07,1.05E-07,3.41E-12,27.75,3.93E-08,4.18E-07
Exponential_10,180,20,1000,1000,9,1000,15,15,15,15,15,15,15,1000,104,118,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,nan,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,9.50E+00,-2.06E-01,-2.06E-01,9.71E-07,8.62E-07,0.00039831,2.13E-06,,2.61E-06,5.45E-09,5.45E-09,5.45E-09,5.45E-09,5.45E-09,5.45E-09,4.83E-07,12.005,8.17E-07,3.74E-07,0.016,0.0015,0.0235,0.0365,0.0025,0.071,0.0005,0.0005,0.0005,0.0005,0.0005,0.001,0.0195,1.407,0.1295,0.005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,9.71E-07,8.62E-07,0.00039831,2.13E-06,,2.61E-06,5.45E-09,5.45E-09,5.45E-09,5.45E-09,5.45E-09,5.45E-09,4.83E-07,12.005,8.17E-07,3.74E-07
Exponential_1000,184,20,10,6,9,1000,15,15,15,15,15,15,0,0,0,0,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,nan,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,-2.06E-01,1.00E+03,1.00E+03,1.00E+03,1.00E+03,9.76E-07,1.92E-07,4.66E-09,3.38E-07,,1.90E-05,8.92E-09,8.92E-09,8.92E-09,8.92E-09,8.92E-09,8.92E-09,126.43,126.43,126.43,126.43,21.2981,2.3256,0.063,0.0435,0.003,0.212,0.001,0.001,0.0005,0.001,0.001,0.001,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,9.76E-07,1.92E-07,4.66E-09,3.38E-07,,1.90E-05,8.92E-09,8.92E-09,8.92E-09,8.92E-09,8.92E-09,8.92E-09,126.43,126.43,126.43,126.43
Genhumps_5,486,37,1000,1000,66,50,28,30,103,24,29,22,133,1000,1000,359,3.70E-12,2.70E-12,1.72E-02,1.55E+00,1.31E-12,9.12E-13,2.21E-12,1.22E-13,2.53E-12,4.98E-13,2.82E-13,1.81E-12,2.20E-30,1.03E+05,1.89E+01,2.83E-12,9.94E-07,7.64E-07,0.094473,0.24084,5.12E-07,6.04E-07,8.02E-07,1.67E-07,9.88E-07,3.89E-07,3.33E-07,7.86E-07,6.64E-16,193.3,3.9449,8.06E-07,0.058,0.004,0.0345,0.032,0.005,0.004,0.002,0.0015,0.006,0.0015,0.001,0.002,0.076,0.7655,0.508,0.0195,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,9.94E-07,7.64E-07,0.094473,0.24084,5.12E-07,6.04E-07,8.02E-07,1.67E-07,9.88E-07,3.89E-07,3.33E-07,7.86E-07,6.64E-16,193.3,3.9449,8.06E-07
P5_quartic_1,219,9,3,3,219,9,3,3,3,3,3,3,2,2,3,3,4.42E-13,2.63E-13,1.30E-19,1.30E-19,4.87E-13,2.56E-13,1.74E-18,1.74E-18,1.74E-18,1.74E-18,1.74E-18,1.74E-18,2.55E-20,2.55E-20,3.75E-31,6.23E-14,9.40E-07,7.26E-07,5.10E-10,5.10E-10,9.87E-07,7.16E-07,1.87E-09,1.87E-09,1.87E-09,1.87E-09,1.87E-09,1.87E-09,2.26E-10,2.26E-10,8.66E-16,3.53E-07,0.0125,0.0005,0,0,0.008,0.0005,0,0,0,0.0005,0,0,0,0.0005,0,0.0005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.40E-07,7.26E-07,5.10E-10,5.10E-10,9.87E-07,7.16E-07,1.87E-09,1.87E-09,1.87E-09,1.87E-09,1.87E-09,1.87E-09,2.26E-10,2.26E-10,8.66E-16,3.53E-07
P6_quartic_2,5,1000,1000,1000,5,1000,25,25,30,26,26,453,12,26,12,136,nan,1.41E+05,1.71E-07,1.41E+05,nan,1.41E+05,6.73E-14,6.73E-14,4.92E-13,3.11E-15,3.11E-15,4.92E-13,6.30E-15,7.53E-23,3.28E-14,3.51E-13,,441180,0.0005966,441180,,441180,3.67E-07,3.67E-07,9.92E-07,7.89E-08,7.89E-08,9.92E-07,1.12E-07,1.23E-11,2.56E-07,8.37E-07,0.0019,0.117,0.022,0.112,0.0015,0.083,0.001,0.001,0.0015,0.001,0.0005,0.018,0.0005,0.0005,0.0005,0.006,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,441180,0.0005966,441180,,441180,3.67E-07,3.67E-07,9.92E-07,7.89E-08,7.89E-08,9.92E-07,1.12E-07,1.23E-11,2.56E-07,8.37E-07
Rosenbrock_100,10,1000,185,1000,6,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,nan,5.91E+00,nan,8.06E+00,nan,5.85E+00,5.63E+00,5.63E+00,5.63E+00,5.63E+00,5.63E+00,5.63E+00,4.18E+00,4.18E+00,5.84E+00,5.62E+00,,26.998,,59.809,,26.311,24.645,24.645,24.645,24.645,24.645,24.645,7.923,7.923,26.184,24.861,0.003,0.219,0.0265,0.16,0.001,0.1605,0.234,0.19,0.206,0.1765,0.1595,0.174,112.5861,113.4125,109.0446,0.035,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26.998,,59.809,,26.311,24.645,24.645,24.645,24.645,24.645,24.645,7.923,7.923,26.184,24.861
Rosenbrock_2,1000,22,48,35,6,1000,673,672,750,1000,672,1000,47,21,1000,212,5.40E+09,3.04E-16,5.16E-16,1.21E-13,nan,9.55E-02,4.96E-18,1.14E-19,1.62E-15,1.78E-12,1.22E-15,5.15E-11,6.49E-21,2.40E-15,4.13E+00,2.97E-15,2554800000,5.32E-07,7.97E-07,7.98E-07,,0.44006,8.63E-08,1.44E-08,9.75E-07,2.97E-05,7.93E-07,7.54E-06,3.59E-09,6.84E-07,1.9489,4.87E-08,0.0395,0.001,0.001,0.0005,0.0005,0.03,0.022,0.0205,0.025,0.034,0.015,0.0245,0.002,0.002,0.045,0.007,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,2554800000,5.32E-07,7.97E-07,7.98E-07,,0.44006,8.63E-08,1.44E-08,9.75E-07,2.97E-05,7.93E-07,7.54E-06,3.59E-09,6.84E-07,1.9489,4.87E-08
